Nombre,Rvir,?LOS,Mvir,Hz,A,Rmax rayos X,T,nelec,S,CC,R500,1/3 R500
ABELL_0085,1.545551636,1362.959924,3.926211007,16.95158471,S,2.51E-01,7.51,2.66E-03,388,S,1.2103,0.403433333
ABELL_0119,1.705808047,1089.497627,5.229081121,16.38231621,S,4.91E-01,3.73,2.08E-03,281,N,0.9413,0.313766667
ABELL_0133,0.951315657,861.757194,0.918135031,15.80826861,S,1.38E-01,4.55E+00,3.38E-03,1.95E+02,"S,s",0.9379,0.312633333
ABELL_0399,1.911998794,1271.251823,7.55384323,16.79351985,U,5.03E-01,6.09E+00,7.09E-04,7.77E+02,N,1.1169,0.3723
ABELL_0400,0.632443479,352.4257369,0.261489963,13.54175119,S,0.243,2,0.00208,125,N,0.6505,0.216833333
ABELL_0401,1.863591521,1299.324614,7.018371184,16.8515317,S,0.502,10.5,0.000866,1040,N,1.2421,0.414033333
ABELL_0426,1.18467097,1195.439558,1.70934125,16.58990339,P,1.16E-01,6.58E+00,1.27E-02,1.17E+02,"S,s",1.2856,0.428533333
ABELL_0496,0.312331085,198.0807994,0.031771378,12.11009005,S,8.03E-02,5.96E+00,5.62E-03,1.89E+02,"S,s",0.9974,0.332466667
ABELL_0539,1.2779429,967.899065,2.168045798,16.07240819,S,3.14E-01,1.94E+00,1.56E-03,1.57E+02,N,0.7773,0.2591
ABELL_0576,0.736765626,457.930882,0.419308709,14.21062162,S,1.79E-01,3.98E+00,3.98E-03,1.62E+02,W,0.8291,0.276366667
ABELL_0754,1.515527216,993.934407,3.703439055,16.16266725,M,0.395,9.2,0.0035,375,N,1.1439,0.3813
ABELL_1060,0.606506206,613.7698426,0.228674616,14.92023328,P,5.61E-02,3.05E+00,1.28E-02,6.06E+01,W/S,0.7015,0.233833333
ABELL_1644,1.231582945,822.7634668,1.974539201,15.68362356,P,2.94E-01,5.29E+00,3.23E-03,2.32E+02,"S,s",0.9944,0.331466667
ABELL_1650,1.107952871,750.2477691,1.490391178,15.48902272,U,2.79E-01,5.03E+00,4.10E-03,2.09E+02,W,1.1015,0.367166667
ABELL_1651,1.379766685,1028.561563,2.880201615,16.27842594,P,2.98E-01,6.02E+00,1.45E-03,5.20E+02,W,1.1252,0.375066667
ABELL_1736,0.49356691,277.647836,0.125659432,12.9565119,S,2.72E-01,2.83E+00,1.99E-03,1.81E+02,N,0.9694,0.323133333
ABELL_1795,1.245114417,831.5398384,2.069681519,15.72442796,U,3.79E-01,6.67E+00,1.02E-03,6.82E+02,S,1.2236,0.407866667
ABELL_2029,1.322217436,1152.242376,2.513211336,16.55381126,U,5.00E-01,8.71E+00,7.34E-04,1.06E+03,"S,s",1.3344,0.4448
ABELL_2052,0.880861719,853.3297994,0.71401821,15.76309981,S,1.23E-01,3.55E+00,6.80E-03,9.89E+01,"S,s",0.9465,0.3155
ABELL_2063,1.111478655,747.2903656,1.43401567,15.43105695,P,2.89E-01,4.17E+00,1.68E-03,2.69E+02,W,0.902,0.300666667
ABELL_2065,1.905381167,1253.613338,7.49900069,16.76170435,U,5.41E-01,8.26E+00,1.35E-03,6.14E+02,W,1.048,0.349333333
ABELL_2142,1.429507099,920.2371899,3.22135323,16.00590854,P,4.00E-01,1.09E+01,1.45E-03,8.49E+02,"W,s",1.3803,0.4601
ABELL_2147,1.055678056,820.8091279,1.229831647,15.66657145,M,1.99E-01,4.02E+00,1.15E-03,3.76E+02,N,0.9351,0.3117
ABELL_2151,0.10134342,832.8563119,0.001083993,7.617494123,M,7.52E-02,2.47E+00,3.36E-03,1.08E+02,,0.7652,0.255066667
ABELL_2199,0.92508025,973.9466695,0.823821353,16.08973164,P,1.04E-01,4.93E+00,0.015072,7.87E+01,"S,s",1.004,0.334666667
ABELL_2204,2.332489303,1185.17885,14.87946396,16.69981371,S,1.05E+00,2.80E+00,7.15E-04,4.01E+02,"S,s",1.3998,0.4666
ABELL_2244,1.598780807,1261.460938,4.54603946,16.80311436,U,3.19E-01,5.50E+00,5.33E-03,1.80E+02,W,1.1295,0.3765
ABELL_2255,2.027212746,1152.955634,9.093285256,16.55927838,S,7.26E-01,4.11E+00,1.35E-03,3.51E+02,N,1.0678,0.355933333
ABELL_2256,1.930074465,1297.80275,7.670774668,16.83232914,S,0.501,5.12,0.00336,253,S,1.1224,0.374133333
ABELL_3112,1.149677867,701.3850721,1.647525308,15.3099891,S,0.247,5.27,0.00363,221,N,1.1288,0.376266667
ABELL_3158,1.72152945,1155.748456,5.45197063,16.54411384,S,4.78E-01,4.15E+00,2.62E-03,2.24E+02,N,1.0667,0.355566667
ABELL_3391,1.238668476,694.8483453,2.024835883,15.26912919,U,4.63E-01,5.64E+00,2.43E-03,3.20E+02,N,0.8978,0.299266667
ABELL_3395,1.157584225,897.1425511,1.644411676,15.90293127,M,2.01E-01,5.57E+00,2.48E-03,3.20E+02,N,0.9298,0.309933333
ABELL_3526A,0.629919852,598.3364562,0.255219054,14.85275555,P,0.0637,4,0.0116,78.4,"W,s",0.826,0.275333333
ABELL_3558,1.169721674,996.5952875,1.693211896,16.16370912,P,0.17141,6.1588,0.0061044,191.21,"S,s",1.101,0.367
ABELL_3562,0.478134492,312.5802241,0.115744187,13.26588722,U,0.14948,4.6631,0.0013306,379.77,W,0.9265,0.308833333
ABELL_4038,0.977965914,753.4256719,0.972334219,15.4468791,S,0.201,2.7847,0.0015645,208.29,"S,s",0.8863,0.295433333
MKW3S,1.091724068,631.7571625,1.371718189,15.02056981,U,3.90E-01,1.62E+00,1.33E-03,1.68E+02,,,0
