Name,σLOS,Rvir,Mvir,A,Hz,CC,R X-ray (1/3 R500),nelec,Sx,Tx
ABELL_0085,1034,2.65,19.75,S,16.26,S,2.51E-01,2.66E-03,3.88E+02,7.51E+00
ABELL_0119,853,2.082,9.51,S,15.77,N,3.17E-01,9.33E-04,6.20E+02,6.17E+00
ABELL_0133,778,1.899,7.3,S,15.55,"S,s",1.38E-01,3.38E-03,1.95E+02,4.55E+00
ABELL_0399,950,2.209,11.65,U,16.07,N,3.74E-01,1.03E-03,6.57E+02,6.69E+00
ABELL_0400,343,0.87,0.68,S,13.47,N,2.17E-01,8.49E-04,2.38E+02,2.04E+00
ABELL_0401,1026,2.41,15.11,S,16.26,N,4.15E-01,1.11E-03,7.72E+02,8.25E+00
ABELL_0426,1029,2.359,13.5,P,16.22,"S,s",1.16E-01,1.27E-02,1.17E+02,6.58E+00
ABELL_0496,712,1.822,6.31,S,15.31,"S,s",8.03E-02,5.62E-03,1.89E+02,5.96E+00
ABELL_0539,698,1.557,3.92,S,15.26,N,2.59E-01,8.46E-04,2.78E+02,2.45E+00
ABELL_0576,866,2.202,11.18,S,15.8,W,1.79E-01,3.98E-03,1.62E+02,3.98E+00
ABELL_0754,820,2.045,9.1,M,15.68,N,3.80E-01,1.65E-03,5.60E+02,8.20E+00
ABELL_1060,678,1.574,3.99,P,15.17,W/S,5.61E-02,1.28E-02,6.06E+01,3.05E+00
ABELL_1644,1008,2.365,14,P,16.19,"S,s",2.94E-01,3.23E-03,2.32E+02,5.29E+00
ABELL_1650,723,1.903,7.55,U,15.4,W,2.79E-01,4.10E-03,2.09E+02,5.03E+00
ABELL_1651,876,2.25,12.5,P,15.88,W,2.98E-01,1.45E-03,5.20E+02,6.02E+00
ABELL_1736,386,1.075,1.3,S,13.78,N,2.72E-01,1.99E-03,1.81E+02,2.83E+00
ABELL_1795,780,1.876,7.09,U,15.56,S,3.79E-01,1.02E-03,6.82E+02,6.67E+00
ABELL_2029,931,1.931,7.82,U,16.02,"S,s",3.79E-01,1.02E-03,6.82E+02,6.67E+00
ABELL_2052,648,1.6,4.28,S,15.08,"S,s",0.123,0.006796,98.939,3.5531
ABELL_2063,762,1.809,6.18,P,15.48,W,2.89E-01,1.68E-03,2.69E+02,4.17E+00
ABELL_2065,1043,2.504,17,U,16.3,W,0.34911,0.00036816,1069.7,5.6467
ABELL_2142,828,2.157,11.1,P,15.74,"W,s",0.4,0.0014546,848.79,10.902
ABELL_2147,935,2.466,15.7,M,15.99,N,0.199,0.00115,376,4.0223
ABELL_2151,768,1.999,8.35,M,15.5,,7.52E-02,3.36E-03,1.08E+02,2.47E+00
ABELL_2199,779,1.907,7.21,P,15.53,"S,s",0.10439,0.015072,78.697,4.9312
ABELL_2204,1101,2.588,20.3,S,16.51,"S,s",0.47082,0.00097694,909.23,8.8009
ABELL_2244,1161,2.546,18.3,U,16.6,W,0.319,0.0053281,179.97,5.503
ABELL_2255,1000,2.47,16.4,S,16.2,N,0.35176,0.0010219,621.75,5.9634
ABELL_2256,1222,2.683,20.6,S,16.68,S,0.37567,0.0015065,490.22,6.3711
ABELL_3112,705,1.98,8.45,S,15.33,N,2.47E-01,3.63E-03,2.21E+02,5.27E+00
ABELL_3158,1066,2.353,13.9,S,16.34,N,0.35414,0.0011177,440.85,4.7137
ABELL_3391,817,1.936,7.74,U,15.67,N,0.33737,0.0010232,516.81,5.7215
ABELL_3395,746,1.823,6.42,M,15.44,N,0.201,0.0024785,319.76,5.5694
ABELL_3526A,564,1.34,2.43,P,14.71,"W,s",6.37E-02,1.16E-02,7.84E+01,4.00E+00
ABELL_3558,955,2.46,15.75,P,16.06,"S,s",0.17141,0.0061044,191.21,6.1588
ABELL_3562,594,1.55,3.94,U,14.87,W,0.14948,0.0013306,379.77,4.6631
ABELL_4038,753,1.79,5.95,S,15.45,"S,s",0.201,0.0015645,208.29,2.7847
MKW3S,607,1.49,3.46,U,14.92,,,,,
