Nombre,Rmax rayos X,nelec,Tx,S,Dvel,Rvir,Mvir,Hz,A,CC
ABELL_0085                ,2.51E-01,2.66E-03,3.73E+00,2.81E+02,1362.959924,1.545551636,3.926211007,16.95158471,S,S
ABELL_0119                ,4.91E-01,2.08E-03,5.73E+00,5.36E+02,1089.497627,1.705808047,5.229081121,16.38231621,S,N
ABELL_0133                ,1.38E-01,3.38E-03,4.55E+00,1.95E+02,861.757194,0.951315657,0.918135031,15.80826861,S,"S,s"
ABELL_0399                ,5.03E-01,7.09E-04,6.09E+00,7.77E+02,1271.251823,1.911998794,7.55384323,16.79351985,U,N
ABELL_0400                ,5.02E-01,8.66E-04,1.05E+01,1.04E+03,352.4257369,0.632443479,0.261489963,13.54175119,S,N
ABELL_0401,2.43E-01,2.08E-03,2.00E+00,1.25E+02,1299.324614,1.863591521,7.018371184,16.8515317,S,N
ABELL_0426                ,1.16E-01,1.27E-02,6.58E+00,1.17E+02,1195.439558,1.18467097,1.70934125,16.58990339,P,"S,s"
ABELL_0496                ,8.03E-02,5.62E-03,5.96E+00,1.89E+02,198.0807994,0.312331085,0.031771378,12.11009005,S,"S,s"
ABELL_0539                ,3.14E-01,1.56E-03,1.94E+00,1.57E+02,967.899065,1.2779429,2.168045798,16.07240819,S,N
ABELL_0576                ,1.79E-01,3.98E-03,3.98E+00,1.62E+02,457.930882,0.736765626,0.419308709,14.21062162,S,W
ABELL_0754                ,3.43E-01,1.48E-03,7.55E+00,6.25E+02,993.934407,1.515527216,3.703439055,16.16266725,M,N
ABELL_1060                ,5.61E-02,1.28E-02,3.05E+00,6.06E+01,613.7698426,0.606506206,0.228674616,14.92023328,P,W/S
ABELL_1644                ,2.94E-01,3.23E-03,5.29E+00,2.32E+02,822.7634668,1.231582945,1.974539201,15.68362356,P,"S,s"
ABELL_1650                ,2.79E-01,4.10E-03,5.03E+00,2.09E+02,750.2477691,1.107952871,1.490391178,15.48902272,U,W
ABELL_1651                ,2.98E-01,1.45E-03,6.02E+00,5.20E+02,1028.561563,1.379766685,2.880201615,16.27842594,P,W
ABELL_1736                ,2.72E-01,1.99E-03,2.83E+00,1.81E+02,277.647836,0.49356691,0.125659432,12.9565119,S,N
ABELL_1795                ,3.79E-01,1.02E-03,6.67E+00,6.82E+02,831.5398384,1.245114417,2.069681519,15.72442796,U,S
ABELL_2029                ,5.00E-01,7.34E-04,8.71E+00,1.06E+03,1152.242376,1.322217436,2.513211336,16.55381126,U,"S,s"
ABELL_2052                ,1.23E-01,6.80E-03,3.55E+00,9.89E+01,853.3297994,0.880861719,0.71401821,15.76309981,S,"S,s"
ABELL_2063                ,2.89E-01,1.68E-03,4.17E+00,2.69E+02,747.2903656,1.111478655,1.43401567,15.43105695,P,W
ABELL_2065                ,5.41E-01,1.35E-03,8.26E+00,6.14E+02,1253.613338,1.905381167,7.49900069,16.76170435,U,W
ABELL_2142                ,4.00E-01,1.45E-03,1.09E+01,8.49E+02,920.2371899,1.429507099,3.22135323,16.00590854,P,"W,s"
ABELL_2147                ,1.99E-01,1.15E-03,4.02E+00,3.76E+02,820.8091279,1.055678056,1.229831647,15.66657145,M,N
ABELL_2151                ,7.52E-02,3.36E-03,2.47E+00,1.08E+02,32.8563119,0.10134342,0.001083993,7.617494123,M,
ABELL_2199                ,1.04E-01,1.04E-01,4.93E+00,7.87E+01,973.9466695,0.92508025,0.823821353,16.08973164,P,"S,s"
ABELL_2204                ,1.05E+00,7.15E-04,2.80E+00,4.01E+02,1185.17885,2.332489303,14.87946396,16.69981371,S,"S,s"
ABELL_2244                ,3.19E-01,5.33E-03,5.50E+00,1.80E+02,1261.460938,1.598780807,4.54603946,16.80311436,U,W
ABELL_2255                ,7.26E-01,1.35E-03,4.11E+00,3.51E+02,1152.955634,2.027212746,9.093285256,16.55927838,S,N
ABELL_2256                ,2.47E-01,3.63E-03,5.27E+00,2.21E+02,1297.80275,1.930074465,7.670774668,16.83232914,S,S
ABELL_3112,5.01E-01,3.36E-03,5.12E+00,2.53E+02,701.3850721,1.149677867,1.647525308,15.3099891,S,N
ABELL_3158                ,4.78E-01,2.62E-03,4.15E+00,2.24E+02,1155.748456,1.72152945,5.45197063,16.54411384,S,N
ABELL_3391                ,4.63E-01,2.43E-03,5.64E+00,3.20E+02,694.8483453,1.238668476,2.024835883,15.26912919,U,N
ABELL_3395                ,2.01E-01,2.48E-03,5.57E+00,3.20E+02,897.1425511,1.157584225,1.644411676,15.90293127,M,N
ABELL_3526A,1.71E-01,6.10E-03,6.16E+00,1.91E+02,598.3364562,0.629919852,0.255219054,14.85275555,P,"W,s"
ABELL_3558                ,1.49E-01,1.33E-03,4.66E+00,3.80E+02,996.5952875,1.169721674,1.693211896,16.16370912,P,"S,s"
ABELL_3562                ,2.01E-01,1.56E-03,2.78E+00,2.08E+02,312.5802241,0.478134492,0.115744187,13.26588722,U,W
ABELL_4038                ,4.00E+00,1.16E-02,4.00E+00,7.84E+01,753.4256719,0.977965914,0.972334219,15.4468791,S,"S,s"
MKW3S,3.90E-01,1.33E-03,1.62E+00,1.68E+02,631.7571625,1.091724068,1.371718189,15.02056981,U,
