Name,R (1/3) R500X-ray,σLOS,Rvir,Mvir,A,Hz,CC,R X-ray,nelec,Sx,Tx
ABELL_0085,4.03E-01,1045,2.668,20.2,S,16.26,S,0.251,0.00266,388,7.51
ABELL_0119                ,3.14E-01,853,2.082,9.51,S,15.77,N,0.317,0.000933,620,6.17
ABELL_0133                ,3.13E-01,778,1.899,7.3,S,15.55,"S,s",0.138,0.00338,195,4.55
ABELL_0399                ,3.72E-01,950,2.209,11.7,U,16.07,N,0.374,0.00103,657,6.69
ABELL_0400                ,2.17E-01,1026,2.41,15.11,S,16.26,N,0.217,0.000849,238,2.04
ABELL_0401,4.14E-01,343,0.87,0.68,S,13.47,N,0.415,0.00111,772,8.25
ABELL_0426                ,4.29E-01,1029,2.359,13.5,P,16.22,"S,s",0.116,0.0127,117,6.58
ABELL_0496                ,3.32E-01,712,1.822,6.31,S,15.31,"S,s",0.0803,0.00562,189,5.96
ABELL_0539                ,2.59E-01,698,1.557,3.92,S,15.26,N,0.259,0.000846,278,2.45
ABELL_0576                ,2.76E-01,866,2.202,11.2,S,15.8,W,0.179,0.00398,162,3.98
ABELL_0754                ,3.81E-01,820,2.045,9.1,M,15.68,N,0.38,0.00165,560,8.2
ABELL_1060                ,2.34E-01,678,1.574,3.99,P,15.17,W/S,0.0561,0.0128,60.6,3.05
ABELL_1644                ,3.31E-01,1008,2.365,14,P,16.19,"S,s",0.294,0.00323,232,5.29
ABELL_1650                ,3.67E-01,723,1.903,7.55,U,15.4,W,0.279,0.0041,209,5.03
ABELL_1651                ,3.75E-01,876,2.25,12.5,P,15.88,W,0.298,0.00145,520,6.02
ABELL_1736                ,3.23E-01,386,1.075,1.3,S,13.78,N,0.272,0.00199,181,2.83
ABELL_1795                ,4.08E-01,780,1.876,7.09,U,15.56,S,0.379,0.00102,682,6.67
ABELL_2029                ,4.45E-01,931,1.931,7.82,U,16.02,"S,s",0.45,0.0010784,800.59,8.42
ABELL_2052                ,3.16E-01,648,1.6,4.28,S,15.08,"S,s",0.123,0.006796,98.939,3.5531
ABELL_2063                ,3.01E-01,762,1.809,6.18,P,15.48,W,0.289,0.00168,269,4.17
ABELL_2065                ,3.49E-01,1043,2.504,17,U,16.3,W,0.34911,0.00036816,1069.7,5.6467
ABELL_2142                ,4.60E-01,828,2.157,11.1,P,15.74,"W,s",0.4,0.0014546,848.79,10.902
ABELL_2147                ,3.12E-01,935,2.466,15.7,M,15.99,N,0.199,0.00115,376,4.0223
ABELL_2151                ,2.55E-01,768,1.999,8.35,M,15.5,,0.0752,0.00336,108,2.47
ABELL_2199                ,3.35E-01,779,1.907,7.21,P,15.53,"S,s",0.10439,0.015072,78.697,4.9312
ABELL_2204                ,4.67E-01,1101,2.588,20.3,S,16.51,"S,s",0.47082,0.00097694,909.23,8.8009
ABELL_2244                ,3.77E-01,1161,2.546,18.3,U,16.6,W,0.319,0.0053281,179.97,5.503
ABELL_2255                ,3.56E-01,1000,2.47,16.4,S,16.2,N,0.35925,0.0010076,611.01,5.7849
ABELL_2256                ,3.74E-01,1222,2.683,20.6,S,16.68,S,0.37567,0.0015065,490.22,6.3711
ABELL_3112,3.76E-01,7.05E+02,1.98E+00,8.45E+00,S,1.53E+01,N,0.247,0.00363,221,5.27
ABELL_3158                ,3.56E-01,1066,2.353,13.9,S,16.34,N,0.35414,0.0011177,440.85,4.7137
ABELL_3391                ,2.99E-01,817,1.936,7.74,U,15.67,N,0.29988,0.0011347,489.16,5.1468
ABELL_3395                ,3.10E-01,746,1.823,6.42,M,15.44,N,0.201,0.0024785,319.76,5.5694
ABELL_3526A,2.75E-01,955,2.46,15.8,P,16.06,"W,s",6.37E-02,1.16E-02,7.84E+01,4.00E+00
ABELL_3558                ,3.67E-01,955,2.46,15.8,P,16.06,"S,s",0.17141,0.0061044,191.21,6.1588
ABELL_3562                ,3.09E-01,594,1.549,3.94,U,14.87,W,0.14948,0.0013306,379.77,4.6631
ABELL_4038                ,2.95E-01,753,1.789,5.95,S,15.45,"S,s",0.201,0.0015645,208.29,2.7847
MKW3S,,607,1.49,3.46,U,14.92,,,,,
