Name,Dvel,Rvir,Mvir,A,Hz
ABELL_0085                ,1045,2.668,20.2,S,16.26
ABELL_0119                ,853,2.082,9.51,S,15.77
ABELL_0133                ,778,1.899,7.3,S,15.55
ABELL_0399                ,950,2.209,11.7,U,16.07
ABELL_0400                ,343,0.87,0.68,S,13.47
ABELL_0426                ,1029,2.359,13.5,P,16.22
ABELL_0496                ,712,1.822,6.31,S,15.31
ABELL_0539                ,698,1.557,3.92,S,15.26
ABELL_0576                ,866,2.202,11.2,S,15.8
ABELL_0754                ,820,2.045,9.1,M,15.68
ABELL_1060                ,678,1.574,3.99,P,15.17
ABELL_1644                ,1008,2.365,14,P,16.19
ABELL_1650                ,723,1.903,7.55,U,15.4
ABELL_1651                ,876,2.25,12.5,P,15.88
ABELL_1736                ,386,1.075,1.3,S,13.78
ABELL_1795                ,780,1.876,7.09,U,15.56
ABELL_2029                ,931,1.931,7.82,U,16.02
ABELL_2052                ,648,1.6,4.28,S,15.08
ABELL_2063                ,762,1.809,6.18,P,15.48
ABELL_2065                ,1043,2.504,17,U,16.3
ABELL_2142                ,828,2.157,11.1,P,15.74
ABELL_2147                ,935,2.466,15.7,M,15.99
ABELL_2151                ,768,1.999,8.35,M,15.5
ABELL_2199                ,779,1.907,7.21,P,15.53
ABELL_2204                ,1101,2.588,20.3,S,16.51
ABELL_2244                ,1161,2.546,18.3,U,16.6
ABELL_2255                ,1000,2.47,16.4,S,16.2
ABELL_2256                ,1222,2.683,20.6,S,16.68
ABELL_3158                ,1066,2.353,13.9,S,16.34
ABELL_3391                ,817,1.936,7.74,U,15.67
ABELL_3395                ,746,1.823,6.42,M,15.44
ABELL_3558                ,955,2.46,15.8,P,16.06
ABELL_3562                ,594,1.549,3.94,U,14.87
ABELL_4038                ,753,1.789,5.95,S,15.45
,,2.039,,,
