Name,R X-ray,nelec,Tx,S,Dvel,Rvir,Mvir,Hz,A
ABELL_0085                ,2.51E-01,2.66E-03,7.51E+00,3.88E+02,1421.408112,1.825519973,6.477442777,17.05775691,S
ABELL_0119                ,2.83E-01,1.01E-03,5.73E+00,5.36E+02,1297.163467,1.543787718,3.875048224,16.81819675,S
ABELL_0133                ,1.38E-01,3.38E-03,4.55E+00,1.95E+02,886.9429955,1.212289074,1.899973064,15.88027787,S
ABELL_0399                ,3.35E-01,1.21E-03,6.73E+00,5.92E+02,1550.744798,1.743524426,5.729002517,17.29055965,U
ABELL_0400                ,1.95E-01,8.37E-04,2.12E+00,2.53E+02,355.0173302,0.581340229,0.203072483,13.55999899,S
ABELL_0426                ,1.16E-01,1.27E-02,6.58E+00,1.17E+02,1232.347439,1.661068165,4.7104553,16.66560974,P
ABELL_0496                ,8.03E-02,5.62E-03,5.96E+00,1.89E+02,670.1560019,1.052512355,1.215788132,15.15714625,S
ABELL_0539                ,2.33E-01,6.70E-04,2.56E+00,3.38E+02,964.6351777,1.144464257,1.556867987,16.06375863,S
ABELL_0576                ,1.79E-01,3.98E-03,3.98E+00,1.62E+02,879.4200884,1.252216076,2.057566941,15.84145389,S
ABELL_0754                ,3.43E-01,1.48E-03,7.55E+00,6.25E+02,953.3402725,1.434192533,3.139273075,16.0586325,M
ABELL_1060                ,5.61E-02,1.28E-02,3.05E+00,6.06E+01,742.2668441,1.013823919,1.066599219,15.39407706,P
ABELL_1644                ,2.94E-01,3.23E-03,5.29E+00,2.32E+02,822.7634668,1.231582945,1.974539201,15.68362356,P
ABELL_1650                ,2.79E-01,4.10E-03,5.03E+00,2.09E+02,708.9541299,1.157722993,1.699827076,15.34715566,U
ABELL_1651                ,2.98E-01,1.45E-03,6.02E+00,5.20E+02,1026.096088,1.421634415,3.150339121,16.27239765,P
ABELL_1736                ,2.72E-01,1.99E-03,2.83E+00,1.81E+02,277.647836,0.49356691,0.125659432,12.9565119,S
ABELL_1795                ,3.68E-01,1.15E-03,6.89E+00,6.45E+02,842.0937817,1.230560702,1.998178336,15.75607212,U
ABELL_2029                ,4.04E-01,1.43E-03,1.59E+02,7.80E-01,1163.81821,1.237607835,2.060353908,16.57850779,U
ABELL_2052                ,1.23E-01,6.80E-03,3.55E+00,9.89E+01,696.6772184,1.082739286,1.326436635,15.25633649,S
ABELL_2063                ,2.72E-01,1.03E-03,3.94E+00,3.57E+02,747.2903656,1.111478655,1.43401567,15.43105695,P
ABELL_2065                ,3.15E-01,1.28E-03,5.60E+00,5.19E+02,1296.247247,1.607074929,4.497599899,16.84488583,U
ABELL_2142                ,4.00E-01,1.45E-03,1.09E+01,8.49E+02,1038.77639,1.585424636,4.393248568,16.30852646,P
ABELL_2147                ,1.99E-01,1.15E-03,4.02E+00,3.76E+02,971.5895939,1.279255435,2.188563673,16.08826202,M
ABELL_2151                ,7.52E-02,3.36E-03,2.47E+00,1.08E+02,753.6186818,1.047111333,1.198777898,15.4519306,M
ABELL_2199                ,1.04E-01,1.04E-01,4.93E+00,7.87E+01,930.7626197,1.333032989,2.464536701,15.97616163,P
ABELL_2204                ,4.19E-01,1.23E-03,8.82E+00,8.20E+02,1346.287574,2.080424731,10.56360125,17.01898086,S
ABELL_2244                ,3.19E-01,5.33E-03,5.50E+00,1.80E+02,1270.59197,1.625095597,4.772962222,16.82088015,U
ABELL_2255                ,3.22E-01,1.08E-03,6.53E+00,6.40E+02,1413.882156,1.861690324,7.046416192,17.06981833,S
ABELL_2256                ,3.31E-01,1.68E-03,6.82E+00,4.82E+02,1380.80668,1.823891133,6.476227858,16.98779698,S
ABELL_3158                ,3.15E-01,3.21E-01,4.65E+00,3.87E+02,1098.785283,1.477602188,3.447251492,16.41773424,S
ABELL_3391                ,2.68E-01,1.26E-03,5.36E+00,4.80E+02,714.5447607,1.07348806,1.317743716,15.33881291,U
ABELL_3395                ,2.01E-01,2.48E-03,5.57E+00,3.20E+02,751.278978,1.623359831,4.534565619,15.45919551,M
ABELL_3558                ,1.71E-01,6.10E-03,6.16E+00,1.91E+02,1024.115382,1.489847702,3.496640732,16.23125969,P
ABELL_3562                ,1.49E-01,1.33E-03,4.66E+00,3.80E+02,593.078932,0.905091769,0.784669616,14.86650051,U
ABELL_4038                ,2.01E-01,1.56E-03,2.78E+00,2.08E+02,701.6712656,1.008371886,1.065895727,15.26898441,S
