Name,dvel,Rvir,Mvir,A
A2798B,757,1.748,6.01,U
A2801,699,1.833,6.94,U
A2804,516,1.403,3.11,M
A0085A,1045,2.668,20.2,S
A2811B,947,2.316,13.9,S
A0118,689,1.667,5.23,S
A0119,853,2.082,9.51,S
A0122,677,1.641,4.98,U
A0133A,778,1.899,7.3,S
A2877-70,679,1.596,4.2,S
A3027A,713,1.904,7.52,S
A0400,343,0.87,0.68,S
A0399,950,2.209,11.7,U
A0401,1026,2.407,15.1,U
A3094A,637,1.648,4.83,U
A3095,327,0.845,0.65,L
A3104,498,1.178,1.77,S
S0334,534,1.249,2.11,L
A3112B,705,1.982,8.46,S
S0336,538,1.405,3.02,L
A0426A,1029,2.359,13.5,P
S0373,390,0.749,0.43,S
A3158,1066,2.353,13.9,S
A0496,712,1.822,6.31,S
A0539,698,1.557,3.92,S
A3391,817,1.936,7.74,U
A3395,746,1.823,6.42,M
A0576,866,2.202,11.2,S
A0634,395,1.029,1.13,L
A0754x,820,2.045,9.1,M
A1060,678,1.574,3.99,P
A1367,597,1.539,3.76,M
A3526A,564,1.335,2.43,P
A3526B,317,0.754,0.44,S
A3530,631,1.632,4.63,S
A1644,1008,2.365,14,P
A3532,443,1.16,1.66,S
A1650,723,1.903,7.55,U
A1651,876,2.25,12.5,P
A1656,995,2.474,15.7,S
A3556,520,1.347,2.59,M
A1736A,386,1.075,1.3,S
A1736Bx,844,2.029,8.82,S
A3558,955,2.46,15.8,P
A3562,594,1.549,3.94,U
A1795,780,1.876,7.09,U
A2029,931,1.931,7.82,U
A2040B,627,1.653,4.77,S
A2052,648,1.6,4.28,S
A2065,1043,2.504,17,U
A2063A,762,1.809,6.18,P
A2142,828,2.157,11.1,P
A2147,935,2.466,15.7,M
A2151x,768,1.999,8.35,M
A2152,406,1.139,1.56,M
A2197,573,1.593,4.21,M
A2199,779,1.907,7.21,P
A2204A,1101,2.588,20.3,S
A2244,1161,2.546,18.3,U
A2256,1222,2.683,20.6,S
A2255,1000,2.47,16.4,S
A3716,783,1.878,6.99,M
S0906,440,1.113,1.46,L
A4012A,575,1.436,3.15,L
A2634,717,1.78,5.87,S
A4038A-49,753,1.789,5.95,S
A2670,970,2.089,9.91,U
