Name,R- out,nelec,neerr,Tx,Txerr: ,Kitpl,Mgrav,Merr
ABELL_4038                ,0.10208,0.0030546,0.0002836,3.2292,0.16,153.28,31390000000000,1141400000000
ABELL_2256                ,0.10497,0.002568,0.00028405,346.28,2531500000000,197260000000,6.2983,0.69
ABELL_2244                ,0.10592,0.0065823,0.00029351,158.03,16928000000000,650330000000,5.5594,0.30564
ABELL_2204                ,1.007,0.00041889,0.000061846,649,-875240000000000,-125960000000000,3.2,0.7868
ABELL_2199                ,0.10054,0.0068499,0.00026404,131.96,-316580000000000,-10037000000000,4.8627,0.19105
ABELL_2151                ,0.01074,0.015751,0.00039449,33.484,899520000000,40758000000,2.25,0.13
ABELL_2255                ,0.10478,0.0018405,0.00015385,528.32,5334400000000,608280000000,7.7351,1.154
ABELL_2147                ,0.1011,0.0017997,0.00032339,281.94,5682000000000,381160000000,4.1642,0.38
ABELL_2142                ,0.10298,0.0072198,0.00037483,192.43,21022000000000,1013300000000,7.1897,0.47035
ABELL_2063                ,0.10318,0.0029892,0.00011171,180.5,10936000000000,636520000000,3.8142,0.30491
ABELL_2065                ,0.10268,0.0030403,0.00055455,264.63,29298000000000,2089100000000,5.4809,0.55381
ABELL_2052                ,0.10028,0.00375,0.0001128,139.31,4864900000000,169760000000,3.3641,0.16
ABELL_2029                ,0.10277,0.010547,0.00016564,158.65,39052000000000,1732800000000,7.63,0.42394
ABELL_1795                ,0.10193,0.0074922,0.00028535,152.98,30499000000000,1736500000000,5.6085,0.41148
ABELL_3562                ,0.10418,0.0027139,0.0002576,242.36,6484700000000,443720000000,4.7308,0.44
ABELL_3558                ,0.10192,0.0039395,0.00048865,265.93,29842000000000,2513700000000,6.7325,0.8201
ABELL_1736                ,0.10614,0.0014856,0.00042933,269.91,6922900000000,418950000000,3.4176,0.29
ABELL_1651                ,0.10443,0.0068626,0.0018669,187.74,14574000000000,1492900000000,6.6788,0.9144
ABELL_1650                ,0.10145,0.0056877,0.00044904,200.58,26170000000000,2603000000000,6.2671,0.83339
ABELL_1644                ,0.10012,0.0024655,0.00027462,231.49,7925400000000,476720000000,4.185,0.33725
ABELL_1060                ,0.01006,0.0079139,0.00064328,77.657,88665000000,4881500000,3.289,0.24238
ABELL_0754                ,0.10405,0.0036117,0.00033012,326.3,24797000000000,2085300000000,7.5481,0.87401
ABELL_0576                ,0.10145,0.0022529,0.00035659,244.96,7380800000000,372490000000,4.1797,0.26203
ABELL_3158                ,0.10514,0.0035177,0.00008785,242.44,17222000000000,917810000000,5.4353,0.37306
ABELL_3395                ,0.10301,0.0018189,0.00024924,348.42,13722000000000,1124200000000,5.5347,0.69094
ABELL_3391                ,0.10175,0.0024288,0.00022412,386.21,8646700000000,786690000000,6.7805,0.88772
ABELL_0539                ,0.10234,0.0016169,0.00039887,220.83,12683000000000,726980000000,3.0462,0.23384
ABELL_0496                ,0.01236,0.038999,0.001026,20.936,870780000000,43648000000,2.549,0.1817
ABELL_0426                ,0.10023,0.0083431,0.00010379,145,72440000000000,594230000000,6.0658,0.07
ABELL_0399                ,0.10318,0.0027395,0.00017957,371.6,17608000000000,1146700000000,7.3658,0.66495
ABELL_0133                ,0.10236,0.0042959,0.00026962,159.06,17138000000000,491880000000,4.3157,0.17058
ABELL_0400                ,0.10007,0.0013365,0.000088929,196.75,5136400000000,265960000000,2.3554,0.17
ABELL_0119                ,0.10284,0.0014974,0.00066192,424.19,8989200000000,712400000000,5.7397,0.69307
ABELL_0085                ,0.10236,0.0056468,0.00028123,177.43,21051000000000,744330000000,5.7058,0.27838
