Nombre,?LOS,Rvir,Mvir,A,Hz,Rmax rayos X,nelec,T,S,CC
ABELL_0085,1034,2.65,19.75,S,16.26,2.51E-01,2.66E-03,7.51,388,S
ABELL_0119,853,2.082,9.51,S,15.77,4.91E-01,2.08E-03,3.73,281,N
ABELL_0133,778,1.899,7.3,S,15.55,1.38E-01,3.38E-03,4.55E+00,1.95E+02,"S,s"
ABELL_0399,950,2.209,11.65,U,16.07,5.03E-01,7.09E-04,6.09E+00,7.77E+02,N
ABELL_0400,343,0.87,0.68,S,13.47,0.243,0.00208,2,125,N
ABELL_0401,1026,2.41,15.11,S,16.26,0.502,0.000866,10.5,1040,N
ABELL_0426,1029,2.359,13.5,P,16.22,1.16E-01,1.27E-02,6.58E+00,1.17E+02,"S,s"
ABELL_0496,712,1.822,6.31,S,15.31,8.03E-02,5.62E-03,5.96E+00,1.89E+02,"S,s"
ABELL_0539,698,1.557,3.92,S,15.26,3.14E-01,1.56E-03,1.94E+00,1.57E+02,N
ABELL_0576,866,2.202,11.18,S,15.8,1.79E-01,3.98E-03,3.98E+00,1.62E+02,W
ABELL_0754,820,2.045,9.1,M,15.68,0.395,0.0035,9.2,375,N
ABELL_1060,678,1.574,3.99,P,15.17,5.61E-02,1.28E-02,3.05E+00,6.06E+01,W/S
ABELL_1644,1008,2.365,14,P,16.19,2.94E-01,3.23E-03,5.29E+00,2.32E+02,"S,s"
ABELL_1650,723,1.903,7.55,U,15.4,2.79E-01,4.10E-03,5.03E+00,2.09E+02,W
ABELL_1651,876,2.25,12.5,P,15.88,2.98E-01,1.45E-03,6.02E+00,5.20E+02,W
ABELL_1736,386,1.075,1.3,S,13.78,2.72E-01,1.99E-03,2.83E+00,1.81E+02,N
ABELL_1795,780,1.876,7.09,U,15.56,3.79E-01,1.02E-03,6.67E+00,6.82E+02,S
ABELL_2029,931,1.931,7.82,U,16.02,5.00E-01,7.34E-04,8.71E+00,1.06E+03,"S,s"
ABELL_2052,648,1.6,4.28,S,15.08,1.23E-01,6.80E-03,3.55E+00,9.89E+01,"S,s"
ABELL_2063,762,1.809,6.18,P,15.48,2.89E-01,1.68E-03,4.17E+00,2.69E+02,W
ABELL_2065,1043,2.504,17,U,16.3,5.41E-01,1.35E-03,8.26E+00,6.14E+02,W
ABELL_2142,828,2.157,11.1,P,15.74,4.00E-01,1.45E-03,1.09E+01,8.49E+02,"W,s"
ABELL_2147,935,2.466,15.7,M,15.99,1.99E-01,1.15E-03,4.02E+00,3.76E+02,N
ABELL_2151,768,1.999,8.35,M,15.5,7.52E-02,3.36E-03,2.47E+00,1.08E+02,
ABELL_2199,779,1.907,7.21,P,15.53,1.04E-01,0.015072,4.93E+00,7.87E+01,"S,s"
ABELL_2204,1101,2.588,20.3,S,16.51,1.05E+00,7.15E-04,2.80E+00,4.01E+02,"S,s"
ABELL_2244,1161,2.546,18.3,U,16.6,3.19E-01,5.33E-03,5.50E+00,1.80E+02,W
ABELL_2255,1000,2.47,16.4,S,16.2,7.26E-01,1.35E-03,4.11E+00,3.51E+02,N
ABELL_2256,1222,2.683,20.6,S,16.68,0.501,0.00336,5.12,253,S
ABELL_3112,705.00,1.98,8.45,S,15.33,0.247,0.00363,5.27,221,N
ABELL_3158,1066,2.353,13.9,S,16.34,4.78E-01,2.62E-03,4.15E+00,2.24E+02,N
ABELL_3391,817,1.936,7.74,U,15.67,4.63E-01,2.43E-03,5.64E+00,3.20E+02,N
ABELL_3395,746,1.823,6.42,M,15.44,2.01E-01,2.48E-03,5.57E+00,3.20E+02,N
ABELL_3526A,564,1.34,2.43,P,14.71,0.0637,0.0116,4,78.4,"W,s"
ABELL_3558,955,2.46,15.75,P,16.06,0.17141,0.0061044,6.1588,191.21,"S,s"
ABELL_3562,594,1.55,3.94,U,14.87,0.14948,0.0013306,4.6631,379.77,W
ABELL_4038,753,1.79,5.95,S,15.45,0.201,0.0015645,2.7847,208.29,"S,s"
MKW3S,607,1.49,3.46,U,14.92,3.90E-01,1.33E-03,1.62E+00,1.68E+02,
